TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
43163,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,222 Madison St,1,Sidewalk: Curb side : Cutout,Private,7/11/00 0:00,8,,37.72603642,-122.4226902
94792,DPW Maintained,Maytenus boaria :: Mayten,2 Laurel St,4,Sidewalk: Curb side : Cutout,Private,11/8/10 0:00,13,,37.79098842,-122.4508487
29149,DPW Maintained,Lophostemon confertus :: Brisbane Box,301X Jones St,1,Sidewalk: Curb side : Cutout,DPW,6/13/15 0:00,3,3x3,37.7839498,-122.4126863
82688,DPW Maintained,Crataegus laevigata :: English Hawthorn,1875 38th Ave,1,Sidewalk: Curb side : Cutout,Private,6/30/08 0:00,2,3x3,37.75197824,-122.4968327
30326,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,946 Capitol Ave,1,Sidewalk: Curb side : Cutout,Private,10/13/17 11:13,3,,37.71906925,-122.4591242
106947,DPW Maintained,Prunus cerasifera :: Cherry Plum,2710 Baker St,2,Sidewalk: Curb side : Cutout,Private,7/2/14 0:00,1,3x3,37.79606292,-122.4453857
46353,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2900 Washington St,2,Sidewalk: Curb side : Cutout,Private,2/27/02 0:00,8,,37.79078673,-122.4412931
41683,Permitted Site,Pyrus kawakamii :: Evergreen Pear,68 Mars St,1,Sidewalk: Curb side : Cutout,Private,6/19/00 0:00,10,,37.76097966,-122.4446096
89070,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,610 18th Ave,1,Sidewalk: Curb side : Cutout,DPW,3/3/08 0:00,2,3x3,37.77639009,-122.4768635
89610,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',4201X Anza St,2,Sidewalk: Curb side : Cutout,DPW,11/5/15 7:01,3,3x3,37.77769248,-122.4933791
167503,Permitted Site,Leptospermum laevigatum :: Australian Tea Tree,3512 16th St,1,Sidewalk: Curb side : Cutout,Private,8/16/18 0:00,3,3x3,37.76441456,-122.4314733
84674,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,4045 24th St,1,Sidewalk: Curb side : Cutout,Private,12/27/12 0:00,4,3x3,37.75130564,-122.4328702
10331,Permitted Site,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,838 Haight St,1,Sidewalk: Curb side : Cutout,Private,4/12/07 0:00,8,5x5,37.77167675,-122.4361039
57298,Permitted Site,Ficus nitida :: Laurel Fig,3120 16th St,1,Sidewalk: Curb side : Cutout,Private,8/27/76 0:00,20,5x5,37.76495791,-122.4224007
108783,DPW Maintained,Arbutus unedo :: Strawberry Tree,2055 Sunnydale Ave,5,Sidewalk: Curb side : Cutout,SFUSD,1/6/15 0:00,3,3x3,37.71364778,-122.4224308
55091,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,526 16th Ave,1,Sidewalk: Curb side : Cutout,Private,9/12/72 0:00,9,,37.77806161,-122.4748418
88336,DPW Maintained,Pyrus calleryana :: Ornamental Pear,554 Naples St,2,Sidewalk: Curb side : Cutout,Private,7/10/08 0:00,8,3x3,37.72000186,-122.4319386
266554,Section 806 (d),Melaleuca quinquenervia :: Cajeput,2775 Market St,2,Sidewalk: Curb side : Cutout,Private,10/13/21 0:00,3,3x3,37.76136095,-122.4392648
43663,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,646 11th Ave,1,Sidewalk: Curb side : Cutout,Private,7/25/00 0:00,3,,37.77608334,-122.4692206
6843,Permitted Site,Hymenosporum flavum :: Sweet Shade,1445 FAIRFAX AVE,1,Sidewalk: Curb side : Cutout,Private,3/14/07 0:00,6,3X3,37.74047206,-122.3865874
90708,DPW Maintained,Yucca elephantipes :: Giant Yucca,4400 Cabrillo St,1,Sidewalk: Curb side : Cutout,DPW,4/7/08 0:00,3,3x3,37.77350962,-122.5057833
26049,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,136 Broad St,1,Sidewalk: Curb side : Cutout,Private,3/10/07 0:00,3,3X3,37.71326115,-122.4573902
111742,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1751 Balboa St,3,Sidewalk: Curb side : Cutout,Private,1/28/16 0:00,3,3x3,37.77653303,-122.4777297
258210,Permitted Site,Cordyline australis :: Dracena Palm,1847 43rd Ave,,Sidewalk: Curb side : Cutout,Private,4/17/19 0:00,3,3x3,37.75222364,-122.5021985
86344,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2363 25th Ave,1,Sidewalk: Curb side : Cutout,DPW,12/18/06 0:00,3,3x3,37.74347936,-122.4822505
5922,Permitted Site,Lophostemon confertus :: Brisbane Box,1300X Eddy St,5,Sidewalk: Curb side : Cutout,Private,5/7/92 0:00,12,4X4,37.78206203,-122.4296075
110156,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,1041 Broadway,2,Sidewalk: Curb side : Cutout,Private,3/25/15 0:00,3,3x3,37.79683937,-122.4142918
16957,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,673 Oak St,2,Sidewalk: Curb side : Cutout,DPW,1/25/08 0:00,3,3X3,37.77398518,-122.4301281
67486,DPW Maintained,Pittosporum undulatum :: Victorian Box,617 Wisconsin St,1,Sidewalk: Curb side : Cutout,Private,9/8/92 0:00,6,,37.75926202,-122.3990347
92244,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1510 32nd Ave,2,Sidewalk: Curb side : Cutout,Private,7/23/09 0:00,1,3x3,37.75896284,-122.4907049
15201,DPW Maintained,Lophostemon confertus :: Brisbane Box,1120 Mission St,4,Sidewalk: Curb side : Cutout,DPW,4/12/95 0:00,6,3X3,37.77888219,-122.4114764
1509,DPW Maintained,Pittosporum undulatum :: Victorian Box,364 Arguello Blvd,1,Sidewalk: Curb side : Cutout,DPW,10/15/96 0:00,9,3X3,37.78454089,-122.4587286
22038,DPW Maintained,Lophostemon confertus :: Brisbane Box,2895 03rd St,6,Sidewalk: Curb side : Cutout,DPW,2/14/95 0:00,3,3X3,37.75340073,-122.3876708
93324,DPW Maintained,Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,2100X Turk Blvd,7,Sidewalk: Curb side : Cutout,DPW,11/20/08 0:00,3,3x3,37.77931477,-122.4437504
68331,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,2338 Anza St,1,Sidewalk: Curb side : Cutout,Private,8/9/93 0:00,9,,37.77874487,-122.4734554
57164,DPW Maintained,Pittosporum undulatum :: Victorian Box,2989 Jackson St,1,Sidewalk: Curb side : Cutout,Private,10/26/74 0:00,15,,37.79116984,-122.4443019
10479,DPW Maintained,Lophostemon confertus :: Brisbane Box,1654 Haight St,1,Sidewalk: Curb side : Cutout,DPW,12/2/07 0:00,12,3X3,37.769751,-122.4494797
31815,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,47 Scott St,1,Sidewalk: Curb side : Cutout,Private,6/19/95 0:00,3,,37.7697757,-122.435117
136801,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1908 Baker St,1,Sidewalk: Curb side : Cutout,Private,2/16/18 0:00,3,Width 4ft,37.78893725,-122.4439304
63002,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1247 42nd Ave,1,Sidewalk: Curb side : Cutout,Private,9/22/86 0:00,2,,37.76335092,-122.5019086
256115,Planning Code 138.1 required,Arbutus 'Marina' :: Hybrid Strawberry Tree,503 Anderson St,1,Sidewalk: Curb side : Cutout,Private,9/12/18 0:00,3,3x3,37.73711377,-122.4152742
8671,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2900 Geary Blvd,3,Sidewalk: Curb side : Cutout,Private,2/22/96 0:00,7,3X3,37.78220247,-122.4504931
56411,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',118 18th Ave,1,Sidewalk: Curb side : Cutout,Private,8/20/73 0:00,14,,37.78564138,-122.4775333
86439,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2550 27th Ave,1,Sidewalk: Curb side : Cutout,DPW,12/29/06 0:00,3,3x3,37.73986094,-122.4839842
235870,Permitted Site,Prunus cerasifera :: Cherry Plum,619 York St,1,Sidewalk: Curb side : Cutout,Private,5/10/94 0:00,7,Width 3ft,37.76124092,-122.4089886
86159,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1235 24th Ave,1,Sidewalk: Curb side : Cutout,DPW,1/19/07 0:00,3,3x3,37.7644623,-122.4826285
37189,DPW Maintained,Pittosporum undulatum :: Victorian Box,1486 30th Ave,1,Sidewalk: Curb side : Cutout,Private,4/12/01 0:00,5,,37.75957389,-122.488576
209652,Permitted Site,Maytenus boaria :: Mayten,542 Moraga St,1,Sidewalk: Curb side : Cutout,Private,5/17/73 0:00,10,Width 3ft,37.75653473,-122.4686951
113643,Planning Code 138.1 required,Lophostemon confertus :: Brisbane Box,1400 MISSION ST,5,Sidewalk: Curb side : Cutout,Private,2/9/16 0:00,3,4x6,37.77527096,-122.4159838
5026,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5320 Diamond Heights Blvd,10,Sidewalk: Curb side : Cutout,Private,1/6/92 0:00,3,2X2,37.74277322,-122.436671
184542,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,1701 40th Ave,1,Sidewalk: Curb side : Cutout,Private,2/13/18 0:00,3,3x3,37.75497106,-122.4991718
24492,Permitted Site,Lophostemon confertus :: Brisbane Box,495X Fell St,6,Sidewalk: Curb side : Cutout,Private,6/24/95 0:00,6,3X3,37.77560902,-122.4249888
177596,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2969 Alemany Blvd,1,Sidewalk: Curb side : Cutout,DPW,1/30/18 0:00,17,Width 2ft,37.71136852,-122.4526619
45763,DPW Maintained,Liquidambar styraciflua :: American Sweet Gum,3954 Washington St,1,Sidewalk: Curb side : Cutout,Private,10/23/01 0:00,5,,37.78861457,-122.4583124
49525,DPW Maintained,Lophostemon confertus :: Brisbane Box,575@ DIVISION 10th St,4,Sidewalk: Curb side : Cutout,Private,4/23/03 0:00,7,,37.76969642,-122.4087483
40189,DPW Maintained,Acacia baileyana :: Bailey's Acacia,600 Silliman St,2,Sidewalk: Curb side : Cutout,Private,4/30/99 0:00,8,,37.72969602,-122.4112413
175507,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,95 Gladstone Dr,3,Sidewalk: Property side : Yard,Private,6/16/21 0:00,3,Width 3ft,37.72939087,-122.4210958
13795,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,929 Market St,4,Sidewalk: Curb side : Cutout,DPW,9/12/93 0:00,30,3X3,37.78339759,-122.4085601
30362,DPW Maintained,Pittosporum undulatum :: Victorian Box,606 Arkansas St,1,Sidewalk: Curb side : Cutout,Private,3/2/56 0:00,11,,37.75852471,-122.3981897
253547,DPW Maintained,Olea europaea :: Olive Tree,1000 Cayuga Ave,15,Back Yard : Yard,DPW,9/27/17 11:40,3,3x3,37.72207681,-122.4398369
52707,DPW Maintained,Prunus x yedoensis :: Yoshino Cherry,1@ JACKSON Cherry St,4,Sidewalk: Curb side : Cutout,Private,3/31/06 0:00,7,,37.7898597,-122.4575512
83366,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,618 Athens St,2,Sidewalk: Curb side : Cutout,Private,7/1/09 0:00,3,3x3,37.71820238,-122.4311201
43761,DPW Maintained,Liquidambar styraciflua :: American Sweet Gum,364 17th Ave,1,Sidewalk: Curb side : Cutout,Private,7/26/00 0:00,5,,37.78122955,-122.4761315
25779,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1711 Geneva Ave,1,Sidewalk: Curb side : Cutout,DPW,4/18/97 0:00,18,2X3,37.7111607,-122.426399
10545,DPW Maintained,Lophostemon confertus :: Brisbane Box,165 Harbor Rd,2,Sidewalk: Curb side : Cutout,DPW,2/12/92 0:00,12,3X4,37.732451,-122.3785079
51059,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1751 Newcomb Ave,1,Sidewalk: Curb side : Cutout,Private,7/9/04 0:00,6,,37.73679169,-122.3926933
45648,DPW Maintained,Prunus cerasifera :: Cherry Plum,161 Naples St,1,Sidewalk: Curb side : Cutout,Private,10/27/05 0:00,3,,37.7261072,-122.4271553
92462,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,3445 Lawton St,4,Sidewalk: Curb side : Cutout,Private,7/30/09 0:00,2,3x3,37.75686541,-122.4999649
23044,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1000 Valencia St,3,Sidewalk: Curb side : Cutout,DPW,2/1/95 0:00,18,3x3,37.75668817,-122.4212589
119272,Permitted Site,Arbutus unedo :: Strawberry Tree,1101 Clay St,2,Sidewalk: Curb side : Cutout,Private,7/27/16 0:00,3,3x3,37.79356851,-122.4111998
42162,DPW Maintained,Olea europaea :: Olive Tree,1407 Cabrillo St,1,Sidewalk: Curb side : Cutout,Private,6/21/00 0:00,8,,37.77484119,-122.4737999
138948,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,738 HAYES ST,1,Sidewalk: Curb side : Cutout,Private,8/7/08 0:00,4,Width 0ft,37.7762322,-122.4286181
44181,DPW Maintained,Pittosporum undulatum :: Victorian Box,3731 Scott St,1,Sidewalk: Curb side : Cutout,Private,12/15/00 0:00,8,,37.80435416,-122.4421061
91747,DPW Maintained,Pistacia chinensis :: Chinese Pistache,2600 Harrison St,2,Sidewalk: Curb side : Cutout,DPW,3/7/07 0:00,3,3x3,37.75578034,-122.4122624
43773,DPW Maintained,Pittosporum undulatum :: Victorian Box,103 19th Ave,5,Sidewalk: Curb side : Cutout,Private,7/26/00 0:00,6,,37.78567623,-122.478781
102923,DPW Maintained,Pittosporum undulatum :: Victorian Box,1461 Pine St,1,Sidewalk: Curb side : Cutout,Private,3/12/13 0:00,1,3x3,37.78962626,-122.4198788
66134,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,3259 Baker St,1,Sidewalk: Curb side : Cutout,Private,11/17/11 0:00,3,,37.80126871,-122.4465906
32556,DPW Maintained,Agonis flexuosa :: Peppermint Willow,233 Liberty St,1,Sidewalk: Curb side : Cutout,Private,10/22/96 0:00,7,,37.75731405,-122.4265636
92291,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2541 21st Ave,2,Sidewalk: Curb side : Cutout,Private,7/27/09 0:00,2,3x3,37.74023949,-122.4777217
44312,DPW Maintained,Prunus cerasifera :: Cherry Plum,2574 Broadway,1,Sidewalk: Curb side : Cutout,Private,3/2/01 0:00,5,,37.79379946,-122.4393364
94213,DPW Maintained,Citrus aurantifolia 'Bearss' :: Seedless Lime,465 Missouri St,8,Sidewalk: Curb side : Cutout,Private,6/22/10 0:00,2,3x3,37.76055798,-122.3962357
160846,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,669 Vienna St,2,Sidewalk: Curb side : Cutout,Private,10/24/17 12:20,3,Width 0ft,37.7177707,-122.4323633
103764,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,90X Frank Norris St,3,Sidewalk: Curb side : Cutout,DPW,11/1/09 0:00,3,3x3,37.78927035,-122.4195758
95337,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,855@Broadway Battery St,2,Sidewalk: Curb side : Cutout,Private,8/17/11 0:00,4,3x3,37.79909187,-122.4012351
42979,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,308 Oxford St,1,Sidewalk: Curb side : Cutout,Private,7/5/00 0:00,10,,37.72596423,-122.4193796
35587,DPW Maintained,Prunus blireiana :: Flowering Plum,3600 Fillmore St,1,Sidewalk: Curb side : Cutout,Private,3/25/98 0:00,5,,37.80287197,-122.4365902
95966,DPW Maintained,Pittosporum undulatum :: Victorian Box,5500 Geary Blvd,1,Median :,DPW,3/12/11 0:00,2,,37.7805919,-122.4785275
76145,DPW Maintained,Lophostemon confertus :: Brisbane Box,2999X Polk St,3,Sidewalk: Curb side : Cutout,SFUSD,11/16/96 0:00,6,4x4,37.8033776,-122.4241268
48433,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1190 Sacramento St,2,Sidewalk: Curb side : Cutout,Private,7/26/02 0:00,10,,37.79262622,-122.4124182
86403,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1719 26th Ave,1,Sidewalk: Curb side : Cutout,DPW,12/19/06 0:00,3,3x3,37.75532907,-122.4841614
90182,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1650 Balboa St,1,Sidewalk: Curb side : Cutout,DPW,2/26/08 0:00,3,3x3,37.77673728,-122.4766866
38826,DPW Maintained,Pyrus calleryana :: Ornamental Pear,35 06th Ave,2,Sidewalk: Curb side : Cutout,Private,10/30/98 0:00,7,,37.78789632,-122.4648636
10385,DPW Maintained,Schinus terebinthifolius :: Brazilian Pepper,1330 Haight St,1,Sidewalk: Curb side : Cutout,DPW,7/17/17 0:00,24,3X3,37.77042397,-122.4441921
184160,DPW Maintained,Lagunaria patersonii :: Primrose Tree,3538 Lawton St,1,Sidewalk: Curb side : Yard,Private,2/28/18 0:00,3,Width 0ft,37.75696922,-122.5010564
30985,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2021 Pacific Ave,1,Sidewalk: Curb side : Cutout,Private,7/7/09 0:00,4,3x3,37.7940157,-122.4289981
115881,DPW Maintained,Geijera parviflora :: Australian Willow,1663 La Salle Ave,1,Sidewalk: Curb side : Cutout,Private,3/1/16 0:00,3,,37.73741063,-122.3904598
51372,DPW Maintained,Maytenus boaria :: Mayten,668 18th Ave,1,Sidewalk: Curb side : Cutout,Private,10/12/04 0:00,4,,37.77559066,-122.4768156
62400,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1080 Chestnut St,1,Sidewalk: Curb side : Cutout,Private,10/25/85 0:00,7,,37.80285682,-122.4208902
87408,DPW Maintained,Eucalyptus sideroxylon :: Red Ironbark,2400X Van Ness Ave,2,Median : Cutout,DPW,4/18/08 0:00,3,3x3,37.79791069,-122.4238515
63523,DPW Maintained,Acacia baileyana 'Purpurea' :: Purple-leaf Acacia,929 VALENCIA ST,1,Sidewalk: Curb side : Cutout,DPW,9/12/15 15:22,3,3x3,37.75799017,-122.4210418
211747,DPW Maintained,Pittosporum undulatum :: Victorian Box,70 Forest Side Ave,1,Sidewalk: Curb side : Cutout,Private,3/6/17 0:00,3,Width 3ft,37.74210344,-122.4683732
28305,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1818 San Jose Ave,1,Sidewalk: Curb side : Cutout,DPW,3/5/03 0:00,3,,37.72869458,-122.4403899
33535,Permitted Site,Schinus molle :: California Pepper,189 Bocana St,1,Sidewalk: Curb side : Cutout,Private,11/25/96 0:00,14,4x4,37.74083857,-122.4174927
42729,DPW Maintained,Pittosporum undulatum :: Victorian Box,1790 Yosemite Ave,4,Sidewalk: Curb side : Cutout,Private,6/26/00 0:00,9,,37.7287859,-122.3949019
13321,Permitted Site,Ulmus parvifolia :: Chinese Elm,435X Persia Ave,1,Sidewalk: Curb side : Cutout,Private,12/23/97 0:00,5,3X3,37.72149258,-122.4324059
33778,Permitted Site,Magnolia grandiflora :: Southern Magnolia,77 Beale St,9,Sidewalk: Curb side : Cutout,Private,1/5/15 0:00,3,3x3,37.79150508,-122.396128
220490,DPW Maintained,Acer rubrum :: Red Maple,3040 24th St,1,Sidewalk: Curb side : Cutout,DPW,12/26/12 0:00,3,Width 3ft,37.75265016,-122.4126766
121650,Undocumented,Arbutus 'Marina' :: Hybrid Strawberry Tree,90 Fernwood Dr,5,Sidewalk: Curb side : Cutout,Private,1/3/17 0:00,3,2x2,37.73291821,-122.460606
30064,DPW Maintained,Pinus radiata :: Monterey Pine,510X Brotherhood Way,9,Median : Cutout,DPW,3/10/07 0:00,6,M,37.71247053,-122.4674296
160336,DPW Maintained,Podocarpus gracilor :: Fern Pine,90 Italy Ave,3,Sidewalk: Curb side : Cutout,Private,5/22/21 0:00,3,Width 0ft,37.71814853,-122.4389831
125408,Permitted Site,Acer rubrum :: Red Maple,830 Eddy St,2,Sidewalk: Curb side : Cutout,Private,11/17/15 0:00,4,Width 4ft,37.78285833,-122.4216659
41171,DPW Maintained,Olea europaea :: Olive Tree,14 Avila St,1,Sidewalk: Curb side : Cutout,Private,11/23/99 0:00,7,,37.80053798,-122.4403048
16686,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,250X Noe St,2,Median : Cutout,DPW,6/6/98 0:00,3,3X3,37.76508484,-122.4331811
12728,DPW Maintained,Quercus agrifolia :: Coast Live Oak,1600 Lake St,2,Sidewalk: Curb side : Cutout,DPW,1/19/05 0:00,2,4X4,37.78624859,-122.4768032
138535,DPW Maintained,Maytenus boaria :: Mayten,1840 Post St,2,Sidewalk: Curb side : Cutout,DPW,4/7/98 0:00,11,Width 0ft,37.78527855,-122.4327587
92336,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2570 32nd Ave,1,Sidewalk: Curb side : Cutout,Private,7/28/09 0:00,1,3x3,37.73928609,-122.4893228
35339,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,740 Arkansas St,1,Sidewalk: Curb side : Cutout,Private,2/23/98 0:00,9,,37.75663725,-122.3979702
13438,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2X Market St,6,Sidewalk: Curb side : Cutout,DPW,12/12/02 0:00,6,4x4,37.79432565,-122.3952546
23045,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1009 Valencia St,1,Sidewalk: Curb side : Cutout,Private,7/19/94 0:00,20,3X3,37.75664963,-122.4209814
5020,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5320 Diamond Heights Blvd,4,Sidewalk: Curb side : Cutout,Private,1/6/92 0:00,3,2X2,37.74301859,-122.4370193
10865,DPW Maintained,Ulmus 'Prospector' :: Prospector Elm,1275X HUDSON AVE,4,Sidewalk: Curb side : Cutout,DPW,3/23/06 0:00,6,3X4,37.73410745,-122.3826385
82793,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1650 Moraga St,1,Sidewalk: Curb side : Cutout,Private,10/30/07 0:00,5,3x3,37.75601024,-122.4805368
32714,DPW Maintained,Cupressus sempervirens :: Italian Cypress,1105 Larkin St,1,Sidewalk: Curb side : Cutout,Private,10/29/96 0:00,14,,37.78834369,-122.4186211
255306,Planning Code 138.1 required,Olea europaea :: Olive Tree,1163 Shotwell St,1,Sidewalk: Curb side : Cutout,Private,5/8/18 0:00,3,3x6,37.74984217,-122.4148497
82263,Permitted Site,Pyrus calleryana 'Chanticleer' :: Ornamental Pear Tree 'Chanticleer',850 South Van Ness Ave,1,Sidewalk: Curb side : Cutout,Private,12/23/11 0:00,5,4x4,37.75954483,-122.4170374
45683,DPW Maintained,Ligustrum lucidum :: Glossy Privet,107 Bernard St,1,Sidewalk: Curb side : Cutout,Private,9/19/01 0:00,4,,37.79625956,-122.4153283
39524,DPW Maintained,Melaleuca quinquenervia :: Cajeput,1330 16th St,3,Sidewalk: Curb side : Cutout,Private,12/28/98 0:00,10,,37.76630904,-122.4001582
43519,DPW Maintained,Prunus cerasifera :: Cherry Plum,534 Broderick St,1,Sidewalk: Curb side : Cutout,Private,7/19/00 0:00,5,,37.77529897,-122.4395004
51292,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,178 Delta St,1,Sidewalk: Curb side : Cutout,Private,8/26/04 0:00,4,,37.71616097,-122.4082335
63559,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3655 Lawton St,1,Sidewalk: Curb side : Cutout,Private,4/27/87 0:00,7,,37.75676603,-122.5022953
97763,DPW Maintained,Prunus cerasifera :: Cherry Plum,115 Commonwealth Ave,1,Sidewalk: Curb side : Cutout,Private,11/8/11 0:00,1,,37.78356468,-122.4557769
20175,DPW Maintained,Pittosporum undulatum :: Victorian Box,1200X Steiner St,4,Sidewalk: Curb side : Cutout,DPW,1/2/91 0:00,6,3X3,37.7807144,-122.4337918
60371,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1443 Palou Ave,1,Sidewalk: Curb side : Cutout,Private,10/26/82 0:00,9,3x3,37.73225439,-122.3880436
2782,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,410 Cabrillo St,4,Sidewalk: Curb side : Cutout,DPW,6/22/11 0:00,3,3x3,37.77548159,-122.4631878
190562,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,1748 Alameda St,1,Sidewalk: Curb side : Cutout,Private,11/3/17 0:00,3,Width 3ft,37.76869733,-122.403221
37261,Permitted Site,Ceanothus 'Ray Hartman' :: California Lilac 'Ray Hartman',801X Church St,1,Sidewalk: Curb side : Cutout,Private,6/12/98 0:00,3,3x3,37.7603813,-122.3840185
31387,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1314 Ulloa St,1,Sidewalk: Curb side : Cutout,Private,4/21/95 0:00,12,3x3,37.74147654,-122.4705383
1956,Permitted Site,Melaleuca quinquenervia :: Cajeput,28 Bertha Ln,1,Sidewalk: Curb side : Cutout,Private,8/17/95 0:00,12,3X3,37.73364252,-122.3815241
21914,DPW Maintained,Lophostemon confertus :: Brisbane Box,2190 03rd St,4,Sidewalk: Curb side : Cutout,DPW,10/10/17 12:13,3,3X3,37.76215959,-122.3888532
68534,DPW Maintained,Melaleuca styphelliodes :: Paperbark Tree,783 06th Ave,1,Sidewalk: Curb side : Cutout,Private,10/18/93 0:00,11,,37.77404149,-122.4638548
52724,DPW Maintained,Ceratonia siliqua :: Carob,160@ HOWARD Spear St,1,Sidewalk: Curb side : Cutout,Private,4/18/06 0:00,7,,37.79177256,-122.393248
29321,DPW Maintained,Lophostemon confertus :: Brisbane Box,1250X Portola Dr,10,Median : Cutout,DPW,10/14/05 0:00,3,3X3,37.74005199,-122.4632537
11222,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1050X Ingalls St,8,Sidewalk: Curb side : Cutout,Private,12/22/15 0:00,3,3X4,37.73286112,-122.3796919
86611,DPW Maintained,Acer rubrum 'Red Sunset' :: Red Swamp Maple,1102 Bryant St,1,Sidewalk: Curb side : Cutout,DPW,4/13/07 0:00,3,3x3,37.77129741,-122.4086213
91651,DPW Maintained,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,1245 South Van Ness Ave,4,Sidewalk: Curb side : Cutout,DPW,3/1/07 0:00,5,3x3,37.75325079,-122.4162776
38052,DPW Maintained,Arbutus unedo :: Strawberry Tree,2721 Bush St,2,Sidewalk: Curb side : Cutout,Private,7/10/98 0:00,11,,37.78582729,-122.4422075
50236,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1450 32nd Ave,1,Sidewalk: Curb side : Cutout,Private,8/27/03 0:00,5,,37.76012011,-122.4907854
93481,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1514 Jerrold Ave,1,Sidewalk: Curb side : Cutout,Private,8/11/10 0:00,1,3x3,37.73805455,-122.3879314
51921,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',101 Walnut St,1,Sidewalk: Curb side : Cutout,Private,7/20/05 0:00,8,,37.79047913,-122.4492422
90542,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,632 Cabrillo St,1,Sidewalk: Curb side : Cutout,DPW,2/14/08 0:00,4,3x3,37.77535813,-122.4653295
